$GPRMC,214100.60,A,4629.33194,N,12222.54165,W,28.675,268.46,170119,,,A*44
$GPRMC,214100.80,A,4629.33193,N,12222.54403,W,29.084,269.96,170119,,,A*4D
$GPRMC,214101.00,A,4629.33188,N,12222.54643,W,29.438,269.26,170119,,,A*40
$GPRMC,214101.20,A,4629.33184,N,12222.54883,W,29.551,269.60,170119,,,A*40
$GPRMC,214101.40,A,4629.33183,N,12222.55126,W,29.836,269.99,170119,,,A*4C
$GPRMC,214101.60,A,4629.33180,N,12222.55372,W,30.117,269.96,170119,,,A*43
$GPRMC,214101.80,A,4629.33179,N,12222.55616,W,30.049,269.70,170119,,,A*4E
$GPRMC,214102.00,A,4629.33178,N,12222.55863,W,30.422,269.79,170119,,,A*48
$GPRMC,214102.20,A,4629.33176,N,12222.56108,W,30.333,269.76,170119,,,A*4B
$GPRMC,214102.40,A,4629.33178,N,12222.56358,W,30.896,270.34,170119,,,A*4E
$GPRMC,214102.60,A,4629.33180,N,12222.56605,W,30.618,270.81,170119,,,A*40
$GPRMC,214102.80,A,4629.33184,N,12222.56845,W,30.055,271.14,170119,,,A*42
$GPRMC,214103.00,A,4629.33180,N,12222.57102,W,31.351,269.65,170119,,,A*4D
$GPRMC,214103.20,A,4629.33179,N,12222.57357,W,31.337,270.00,170119,,,D*45
$GPRMC,214103.40,A,4629.33178,N,12222.57605,W,30.801,269.86,170119,,,D*49
$GPRMC,214103.60,A,4629.33185,N,12222.57851,W,30.626,271.46,170119,,,D*48
$GPRMC,214103.80,A,4629.33186,N,12222.58098,W,30.636,270.13,170119,,,D*47
$GPRMC,214104.00,A,4629.33176,N,12222.58355,W,31.482,267.64,170119,,,D*4F
$GPRMC,214104.20,A,4629.33177,N,12222.58611,W,31.425,269.52,170119,,,D*4F
$GPRMC,214104.40,A,4629.33173,N,12222.58866,W,31.472,268.87,170119,,,D*48
$GPRMC,214104.60,A,4629.33184,N,12222.59111,W,30.496,272.23,170119,,,D*44
$GPRMC,214104.80,A,4629.33188,N,12222.59366,W,31.273,271.67,170119,,,D*4B
$GPRMC,214105.00,A,4629.33183,N,12222.59615,W,31.102,269.20,170119,,,D*47
$GPRMC,214105.20,A,4629.33172,N,12222.59861,W,30.796,267.32,170119,,,D*41
$GPRMC,214105.40,A,4629.33182,N,12222.60104,W,30.262,271.23,170119,,,D*41
$GPRMC,214105.60,A,4629.33182,N,12222.60360,W,31.294,270.28,170119,,,D*41
$GPRMC,214105.80,A,4629.33185,N,12222.60618,W,31.463,270.89,170119,,,D*47
$GPRMC,214106.00,A,4629.33180,N,12222.60881,W,32.018,269.18,170119,,,D*4C
$GPRMC,214106.20,A,4629.33176,N,12222.61139,W,31.850,268.78,170119,,,D*4C
$GPRMC,214106.40,A,4629.33175,N,12222.61401,W,31.895,269.60,170119,,,D*46
$GPRMC,214106.60,A,4629.33171,N,12222.61663,W,32.033,269.21,170119,,,D*44
$GPRMC,214106.80,A,4629.33170,N,12222.61928,W,32.317,269.73,170119,,,D*49
$GPRMC,214107.00,A,4629.33172,N,12222.62188,W,32.060,270.90,170119,,,D*45
$GPRMC,214107.20,A,4629.33170,N,12222.62454,W,32.435,269.60,170119,,,D*42
$GPRMC,214107.40,A,4629.33171,N,12222.62725,W,32.971,270.40,170119,,,D*47
$GPRMC,214107.60,A,4629.33172,N,12222.62991,W,32.728,270.21,170119,,,D*42
$GPRMC,214107.80,A,4629.33172,N,12222.63254,W,32.545,269.94,170119,,,D*40
$GPRMC,214108.00,A,4629.33176,N,12222.63513,W,32.190,271.18,170119,,,D*46
